日時,河川水位,id
2023-09-12T00:10,1.30,1
2023-09-12T00:10,1.35,2
2023-09-12T00:10,0.73,3
2023-09-12T00:10,0.75,4
2023-09-12T00:10,0.69,5
2023-09-12T00:10,0.73,6
2023-09-12T00:10,4.00,7
2023-09-12T00:10,2.03,8
2023-09-12T00:10,0.23,9
2023-09-12T00:20,0.09,10
2023-09-12T00:10,0.01,12
2023-09-12T00:10,0.49,13
2023-09-12T00:10,1.98,14
2023-09-12T00:10,2.56,15
2023-09-12T00:10,5.62,16
2023-09-12T00:10,6.67,17
2023-09-12T00:10,0.93,22
2023-09-12T00:10,0.31,23
2023-09-12T00:10,0.90,24
2023-09-12T00:10,0.32,25
2023-09-12T00:10,0.70,26
2023-09-12T00:10,0.61,27
2023-09-11T24:00,,28
2023-09-11T24:00,0.47,29
2023-09-11T24:00,0.61,30
2023-09-11T24:00,0.69,31
2023-09-11T24:00,0.67,32
2023-09-12T00:10,0.00,43
2023-09-12T00:10,1.03,45
2023-09-12T00:10,0.47,46
2023-09-12T00:10,1.06,47
2023-09-12T00:10,0.32,48
2023-09-11T24:00,4.58,49
2023-09-11T24:00,1.12,51
2023-09-12T00:10,0.83,62
2023-09-12T00:10,0.36,63
2023-09-12T00:20,0.22,64
2023-09-12T00:20,0.09,65
2023-09-12T00:20,0.03,66
2023-09-12T00:10,6.49,74
2023-09-12T00:10,0.38,75
2023-09-12T00:10,0.57,76
2023-09-12T00:10,0.22,77
2023-09-12T00:10,6.45,78
2023-09-12T00:10,0.24,79
2023-09-12T00:10,0.58,80
2023-09-12T00:10,6.97,81
2023-09-12T00:10,6.67,82
2023-09-12T00:10,6.72,83
2023-09-12T00:10,0.48,88
2023-09-12T00:10,0.14,89
2023-09-12T00:10,0.48,90
2023-09-12T00:20,0.13,91
2023-09-12T00:20,0.15,92
2023-09-12T00:20,0.35,93
2023-09-12T00:20,349.75,95
2023-09-12T00:20,0.12,96
2023-09-12T00:10,0.86,97
2023-09-12T00:10,1.25,107
2023-09-12T00:10,0.16,108
2023-09-12T00:10,0.68,109
2023-09-12T00:10,1.17,110
2023-09-12T00:10,0.40,111
2023-09-12T00:10,0.33,121
2023-09-12T00:10,0.45,122
2023-09-12T00:10,0.09,124
2023-09-12T00:20,0.61,134
2023-09-12T00:20,0.10,135
2023-09-12T00:20,0.19,136
2023-09-12T00:20,0.90,137
2023-09-12T00:20,0.68,138
2023-09-12T00:20,0.01,139
2023-09-12T00:20,0.70,140
2023-09-12T00:20,0.58,141
2023-09-12T00:20,1.03,150
2023-09-12T00:20,0.12,151
2023-09-12T00:20,0.95,152
2023-09-12T00:20,1.14,153
2023-09-12T00:20,2.06,154
2023-09-12T00:20,0.13,155
2023-09-12T00:20,0.82,156
2023-09-12T00:20,0.97,157
2023-09-12T00:20,0.05,158
2023-09-12T00:10,551.30,170
2023-09-12T00:10,459.55,171
2023-09-12T00:10,0.02,172
2023-09-12T00:10,0.92,174
2023-09-12T00:10,568.90,176
2023-09-12T00:10,0.87,179
2023-09-12T00:10,1.01,180
2023-09-12T00:20,1.97,205
2023-09-12T00:20,0.71,206
2023-09-12T00:20,1.42,207
2023-09-12T00:20,1.25,208
2023-09-12T00:20,0.67,209
2023-09-12T00:20,2.00,210
2023-09-12T00:20,0.67,211
2023-09-12T00:20,0.87,212
2023-09-11T24:00,,213
2023-09-12T00:20,0.15,215
2023-09-12T00:20,1.19,216
2023-09-12T00:20,3.32,217
2023-09-12T00:20,0.60,221
2023-09-11T24:00,0.45,252
2023-09-12T01:20,1.29,1
2023-09-12T01:20,1.35,2
2023-09-12T01:20,0.75,3
2023-09-12T01:20,0.77,4
2023-09-12T01:20,0.70,5
2023-09-12T01:20,0.74,6
2023-09-12T01:20,4.00,7
2023-09-12T01:20,2.03,8
