日時,河川水位,id
2024-10-14T00:20,1.30,1
2024-10-14T00:20,1.07,2
2024-10-14T00:20,0.41,3
2024-10-14T00:20,0.63,4
2024-10-14T00:20,0.47,5
2024-10-14T00:20,0.58,6
2024-10-14T00:20,4.06,7
2024-10-14T00:20,1.99,8
2024-10-14T00:20,0.23,9
2024-10-14T00:20,0.08,10
2024-10-14T00:20,0.03,12
2024-10-14T00:20,0.41,13
2024-10-14T00:20,1.88,14
2024-10-14T00:20,2.36,15
2024-10-14T00:20,5.42,16
2024-10-14T00:20,6.45,17
2024-10-14T00:20,0.86,22
2024-10-14T00:20,0.00,23
2024-10-14T00:20,0.81,24
2024-10-14T00:20,0.34,25
2024-10-14T00:20,0.48,26
2024-10-14T00:20,0.44,27
2024-10-14T00:20,0.50,28
2024-10-13T24:00,0.30,29
2024-10-13T24:00,0.63,30
2024-10-13T24:00,0.64,31
2024-10-13T24:00,0.63,32
2024-10-14T00:20,0.00,43
2024-10-14T00:20,1.21,45
2024-10-14T00:20,0.24,46
2024-10-14T00:20,0.98,47
2024-10-14T00:20,0.46,48
2024-10-13T24:00,4.60,49
2024-10-13T24:00,1.07,51
2024-10-14T00:20,0.80,62
2024-10-14T00:20,0.38,63
2024-10-14T00:20,0.33,64
2024-10-14T00:20,0.11,65
2024-10-14T00:20,0.08,66
2024-10-14T00:20,6.47,74
2024-10-14T00:20,0.25,75
2024-10-14T00:20,0.50,76
2024-10-14T00:20,0.20,77
2024-10-14T00:20,6.45,78
2024-10-14T00:20,0.23,79
2024-10-14T00:20,0.65,80
2024-10-14T00:20,6.91,81
2024-10-14T00:20,6.66,82
2024-10-14T00:20,6.72,83
2024-10-14T00:20,0.49,88
2024-10-14T00:20,0.22,89
2024-10-14T00:20,0.48,90
2024-10-14T00:20,0.21,91
2024-10-14T00:20,0.15,92
2024-10-14T00:20,0.36,93
2024-10-14T00:20,349.76,95
2024-10-14T00:20,0.17,96
2024-10-14T00:20,0.44,97
2024-10-14T00:20,1.27,107
2024-10-14T00:20,0.20,108
2024-10-14T00:20,0.62,109
2024-10-14T00:20,1.05,110
2024-10-14T00:20,0.38,111
2024-10-14T00:20,0.39,121
2024-10-14T00:20,0.42,122
2024-10-14T00:20,0.06,124
2024-10-14T00:20,0.41,134
2024-10-14T00:20,0.14,135
2024-10-14T00:20,0.23,136
2024-10-14T00:20,0.88,137
2024-10-14T00:20,0.40,138
2024-10-14T00:20,0.05,139
2024-10-14T00:20,0.40,140
2024-10-14T00:20,0.29,141
2024-10-14T00:20,1.05,150
2024-10-14T00:20,0.08,151
2024-10-14T00:20,0.93,152
2024-10-14T00:20,1.17,153
2024-10-14T00:20,1.85,154
2024-10-14T00:20,0.21,155
2024-10-14T00:20,0.82,156
2024-10-14T00:20,1.15,157
2024-10-14T00:20,0.06,158
2024-10-13T24:00,,170
2024-10-14T00:20,459.09,171
2024-10-14T00:20,0.06,172
2024-10-14T00:20,0.98,174
2024-10-14T00:20,569.11,176
2024-10-14T00:20,0.96,179
2024-10-14T00:20,1.13,180
2024-10-14T00:20,2.27,205
2024-10-14T00:20,0.37,206
2024-10-14T00:20,1.14,207
2024-10-14T00:20,1.41,208
2024-10-14T00:20,0.31,209
2024-10-14T00:20,1.76,210
2024-10-14T00:20,0.33,211
2024-10-14T00:20,0.57,212
2024-10-14T00:20,0.35,213
2024-10-14T00:20,0.21,215
2024-10-14T00:20,1.19,216
2024-10-14T00:20,3.32,217
2024-10-14T00:20,0.33,221
2024-10-13T24:00,0.15,251
2024-10-13T24:00,0.45,252
2024-10-14T01:20,1.30,1
2024-10-14T01:20,1.06,2
2024-10-14T01:20,0.45,3
2024-10-14T01:20,0.64,4
2024-10-14T01:20,0.47,5
2024-10-14T01:20,0.57,6
2024-10-14T01:20,4.06,7
2024-10-14T01:20,1.99,8
2024-10-14T01:20,0.23,9
2024-10-14T01:30,0.08,10
2024-10-14T01:20,0.03,12
2024-10-14T01:20,0.41,13
2024-10-14T01:20,1.88,14
2024-10-14T01:20,2.36,15
2024-10-14T01:20,5.41,16
2024-10-14T01:20,6.45,17
2024-10-14T01:20,0.86,22
